CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,LC50
3.532,0.134,1.518,0,0.0,2.813,3.959
2.817,1.012,1.521,0,2.5,-1.169,2.069
4.566,0.357,1.394,0,1.0,3.903,6.923
2.548,0.947,1.051,0,0.0,1.66,3.588
3.559,0.223,1.36,0,0.0,2.446,3.458
2.726,0.496,1.179,0,1.0,1.06,2.126
3.86,0.223,1.429,0,0.0,2.502,3.919
2.216,0.582,1.287,0,0.0,1.467,2.74
4.356,1.028,1.224,0,1.0,5.741,5.758
2.834,0.134,0.95,0,0.0,1.591,3.021
3.103,0.134,1.016,0,0.0,2.193,3.651
2.986,0.961,1.669,0,2.5,1.798,3.152
3.554,0.629,0.945,0,0.0,3.315,3.459
1.512,0.331,1.627,0,0.0,-0.386,2.891
2.025,0.932,0.851,0,0.0,2.212,4.672
2.815,0.56,1.585,0,2.0,0.43,2.758
2.594,0.251,0.861,0,0.0,1.68,3.112
3.567,0.711,1.501,0,2.5,1.759,4.043
4.05,0.693,1.381,0,2.0,3.618,5.49
3.601,0.223,1.254,0,1.0,2.357,3.141
3.669,0.486,1.374,0,0.0,3.291,4.61
3.634,0.693,1.747,0,2.0,1.742,4.051
2.217,0.872,0.875,0,0.0,1.769,4.182
3.833,0.405,1.522,0,1.0,3.492,2.092
3.18,1.281,1.246,0,0.0,2.492,4.963
4.305,0.223,1.348,0,2.0,3.909,5.192
4.63,0.405,1.458,0,1.0,5.579,3.139
2.928,1.131,0.908,0,2.0,3.508,5.86
2.931,1.71,0.935,0,2.0,5.124,7.017
2.216,0.389,0.796,0,0.0,1.953,3.751
2.777,0.56,1.127,0,0.0,1.433,4.767
3.585,0.331,1.491,0,0.0,2.224,3.53
3.2,0.711,1.235,0,2.5,0.779,2.681
3.609,0.811,1.208,0,0.0,3.291,4.247
2.222,0.711,0.849,0,0.0,0.828,3.641
4.436,0.764,1.227,0,1.0,5.258,5.412
2.126,0.977,0.771,0,0.0,3.795,5.284
3.103,0.134,1.016,0,0.0,2.193,3.21
3.81,1.025,1.055,0,2.0,0.215,3.838
3.023,0.56,1.168,0,1.0,1.75,3.379
3.459,1.47,1.483,0,2.0,0.491,4.486
3.281,0.693,1.808,0,2.0,1.121,3.095
2.866,0.223,1.333,0,1.0,1.05,2.27
2.126,0.83,0.899,0,0.0,3.478,4.194
3.137,0.251,1.335,0,0.0,1.141,2.412
3.914,0.56,1.637,0,1.0,3.048,3.926
3.38,1.749,1.135,0,1.0,3.305,4.951
3.003,0.134,1.413,0,0.0,2.242,2.647
4.219,1.033,0.963,0,1.0,4.246,9.354
3.332,0.134,1.294,0,0.0,2.242,3.374
2.74,1.04,1.603,0,1.0,2.646,4.215
3.55,1.182,1.624,0,0.0,2.433,4.811
2.57,1.028,2.137,0,0.0,1.466,2.973
2.469,0.582,0.913,0,0.0,2.688,4.002
2.834,0.134,1.009,0,0.0,2.066,3.448
2.926,0.582,1.939,0,0.0,1.548,3.046
2.218,0.923,1.074,0,0.0,0.291,3.237
3.461,0.223,1.281,0,0.0,2.813,4.416
2.216,0.582,0.839,0,0.0,2.127,3.979
3.012,0.223,1.023,0,0.0,2.193,3.92
3.08,0.223,1.385,0,0.0,1.195,2.07
2.206,1.3,1.36,0,0.0,2.371,4.739
2.08,0.891,0.816,0,0.0,2.729,4.332
2.435,0.331,1.532,0,1.0,0.586,2.014
1.925,1.318,0.595,0,0.0,3.764,4.705
2.536,0.496,1.482,0,1.0,0.204,3.03
3.86,0.223,1.55,0,1.0,3.661,4.51
2.126,0.977,0.771,0,0.0,3.795,4.762
3.065,0.923,1.317,0,0.0,1.271,2.015
2.085,1.079,0.895,0,0.0,4.063,4.89
3.386,0.251,1.225,0,0.0,1.586,3.086
2.456,0.331,0.875,0,1.0,1.294,2.263
2.429,0.405,1.927,0,1.0,0.586,2.583
3.26,0.251,1.287,0,1.0,1.994,2.745
2.95,1.772,1.351,0,2.5,3.11,5.383
2.641,0.496,1.077,0,1.0,1.697,3.537
3.073,0.693,1.851,0,2.0,0.787,4.016
3.111,0.331,1.011,0,1.0,2.042,3.25
3.08,0.405,1.609,0,1.0,1.619,4.786
3.179,0.0,0.805,0,0.0,2.994,4.154
3.073,1.493,1.279,0,0.0,3.737,6.645
3.261,0.331,2.047,0,1.0,0.915,4.182
2.609,0.604,1.529,0,0.0,2.419,3.572
3.024,0.452,2.458,0,0.0,1.107,0.45
2.719,0.891,2.292,0,0.0,1.94,3.289
4.005,0.223,1.545,0,1.0,3.953,5.055
4.372,0.134,1.254,0,0.0,5.339,6.569
1.439,1.079,1.867,0,0.0,2.226,3.402
2.233,0.57,0.883,0,0.0,1.501,3.325
1.814,1.316,1.074,0,1.0,1.119,3.35
3.924,0.693,1.707,0,2.0,2.314,4.713
3.587,0.675,2.108,0,0.0,2.527,3.656
3.316,0.223,1.571,0,1.0,1.795,2.94
3.937,0.762,1.708,0,0.0,1.145,3.297
3.181,0.604,1.52,0,0.0,3.126,4.68
3.7,0.223,1.556,0,1.0,3.358,3.971
1.962,1.345,0.783,0,0.0,3.617,5.348
3.599,0.702,1.514,0,1.0,3.247,6.183
2.111,0.134,1.253,0,0.0,0.468,2.914
3.871,0.829,1.558,0,1.0,3.026,4.539
3.465,0.0,0.837,0,0.0,3.876,4.809
3.001,0.651,0.781,0,0.0,4.203,5.262
4.278,0.405,1.345,0,0.0,3.546,4.668
